WKT,nome,descrizione
"LINESTRING (12.286967 45.1700002, 12.2979533 45.2261268, 12.29658 45.2382158, 12.3013865 45.273501, 12.3206126 45.3309737, 12.3267924 45.349314, 12.3515116 45.3869414, 12.3824107 45.4221341, 12.3940837 45.4312902, 12.4318492 45.4312902, 12.4682414 45.4558599, 12.5499522 45.4756042, 12.6055705 45.4924536, 12.6728617 45.5198834, 12.5856578 45.5689348, 12.5012004 45.5847952, 12.4098765 45.5698962, 12.308253 45.5256564, 12.242335 45.4866773, 12.2251689 45.4221341, 12.1599376 45.3994783, 12.133845 45.358482, 12.1153056 45.3092471, 12.1118724 45.2754338, 12.157191 45.2449845, 12.1839701 45.2208068, 12.2189891 45.1801651, 12.2595012 45.1777451, 12.286967 45.1700002)",Laguna_Venezia,
"LINESTRING (13.0762719 45.6441108, 13.0453728 45.7052828, 13.0745553 45.7539328, 13.1246804 45.7771643, 13.2314538 45.7862627, 13.2922219 45.767825, 13.3701562 45.754891, 13.416848 45.737641, 13.5092541 45.7192793, 13.4522625 45.696743, 13.4213635 45.681394, 13.3863446 45.6761168, 13.3437725 45.6909876, 13.3224865 45.6996205, 13.3032605 45.7048955, 13.2648083 45.708252, 13.2394024 45.7164028, 13.1920239 45.7135262, 13.1631848 45.707293, 13.1460186 45.696743, 13.1192395 45.6770763, 13.0979535 45.6607621, 13.0762719 45.6441108)",Laguna_Grado_Marano,
